Gender;Age;Competitionage;50m;100m;200m
0;9;2;36.80;86.83;178.53
0;9;2;47.35;100.60;225.87
0;9;3;40.08;99.86;195.11
0;10;3;36.90;83.90;183.07
0;10;3;39.34;91.21;200.38
0;10;1;46.34;108.18;239.40
0;11;3;33.64;72.63;157.89
0;11;2;39.09;83.84;184.86
0;11;2;37.12;80.60;176.98
0;11;1;40.98;93.07;195.17
0;11;1;40.13;91.01;192.73
0;13;3;31.63;68.66;146.46
0;10;3;31.81;67.44;143.12
0;9;2;33.10;70.72;150.73
0;10;2;38.59;86.50;196.75
0;13;6;30.49;65.50;143.52
0;12;5;31.71;70.04;151.45
0;14;2;33.83;79.13;189.76
0;14;2;32.02;76.00;178.59
0;13;5;28.00;60.92;134.24
0;10;2;32.47;70.26;148.88
0;14;6;26.93;60.16;130.72
0;12;4;29.83;65.16;141.24
0;11;3;30.95;69.78;152.38
0;12;4;35.39;84.12;183.65
0;11;3;37.33;84.95;195.93
0;14;6;28.84;64.61;147.05
0;14;6;27.78;63.19;137.83
0;14;6;27.90;61.71;137.60
0;13;5;30.49;69.02;154.89
0;12;4;31.31;72.01;158.93
0;11;3;35.50;80.92;185.63
0;11;3;33.99;76.47;173.19
0;12;4;31.72;70.83;165.40
0;14;5;28.33;62.27;136.79
0;14;5;27.17;59.20;128.43
0;14;5;30.11;67.06;151.13
0;12;3;36.50;83.46;190.84
0;14;7;29.53;64.92;142.69
0;14;4;28.75;64.96;145.37
0;9;2;40.33;95.31;211.39
0;10;3;35.25;81.66;179.75
0;11;4;33.69;76.14;169.37
0;12;5;32.92;72.44;157.99
0;10;3;33.75;77.53;173.56
0;12;5;27.48;60.89;144.69
0;13;6;25.92;57.45;128.13
0;10;2;34.63;77.03;170.60
0;11;3;32.47;72.13;157.49
0;11;3;31.43;70.27;156.30
0;11;3;31.46;68.43;151.36
0;12;4;30.83;66.60;148.45
0;13;5;28.05;58.74;136.87
0;10;3;41.19;89.30;201.71
0;11;4;36.21;79.11;168.46
0;12;5;35.13;76.06;164.00
0;13;6;32.97;71.90;157.51
0;14;7;29.77;63.91;135.50
1;11;3;33.32;73.32;161.45
1;11;3;41.72;97.37;218.72
1;11;3;36.83;88.68;183.64
1;11;4;34.30;70.63;147.16
1;10;3;34.63;73.79;150.59
1;10;3;35.99;78.83;169.62
1;9;2;36.31;77.33;170.24
1;10;3;33.87;75.39;171.76
1;11;4;31.22;67.37;155.13
1;12;5;29.69;65.58;146.80
1;12;5;28.65;63.33;137.54
1;12;5;28.24;60.82;136.65
1;13;6;27.80;59.80;131.79
1;9;2;46.01;104.40;231.95
1;10;3;39.74;87.23;195.30
1;11;4;36.79;85.84;189.77
1;11;4;34.77;76.37;172.40
1;12;2;42.76;101.68;234.03
1;12;3;38.96;86.83;191.23
1;11;4;35.67;78.27;174.28
1;13;6;31.42;68.30;153.93
1;13;6;31.35;69.13;146.43
1;14;7;29.88;65.21;140.78
1;10;3;42.15;100.23;221.82
1;11;4;39.25;88.37;196.26
1;12;5;36.71;78.43;176.81
1;13;4;32.92;73.72;165.02
1;13;4;33.43;72.79;158.72
1;14;5;33.51;74.62;164.93
1;11;3;35.00;76.85;171.02
1;12;4;32.47;71.42;160.43
1;13;5;32.82;71.49;158.70
1;13;5;32.25;70.96;154.23
1;9;2;37.62;82.69;179.50
1;12;5;28.79;63.07;136.44
1;13;6;27.60;60.99;135.14
1;13;6;27.88;60.18;134.71
1;9;2;38.85;87.66;190.03
1;10;2;41.20;93.97;200.89
1;10;2;42.95;98.65;208.28
0;10;3;38.72;82.93;194.10
0;10;3;37.46;80.54;175.48
0;11;2;37.96;84.13;180.26
0;10;1;37.07;84.69;187.56
0;10;3;37.06;87.62;186.82
0;10;3;36.93;85.41;183.45
0;10;3;35.87;80.72;178.41
0;9;2;41.48;95.32;212.72
1;12;4;38.92;89.20;185.78
1;10;2;40.34;92.14;197.25
0;10;1;39.45;87.46;194.80
1;9;2;51.70;123.31;244.08
1;10;3;39.72;86.99;193.85
1;9;2;42.78;96.37;205.87
1;9;2;42.62;94.81;203.06
1;10;3;39.75;92.48;200.19
1;10;3;41.82;93.87;207.63
1;10;3;40.75;88.85;192.59
1;9;2;43.89;97.00;216.15
1;11;2;40.06;93.18;214.57
0;9;2;41.82;96.47;206.90
0;9;3;41.09;93.73;203.12
